year,standard,halogen,cfl,led
1,8.03,8.16,4.68,6.11
2,7.63,6.67,1.69,1.14
3,7.63,6.67,1.69,1.14
4,7.63,6.67,1.69,1.14
5,7.63,6.67,1.69,1.14
6,7.63,6.67,1.69,1.14
7,7.63,6.67,1.69,1.14
8,7.63,6.67,1.69,1.14
9,7.63,6.67,1.69,1.14
10,7.63,6.67,4.68,1.14
