date,amt
Jun-00,3
Apr-01,6
Mar-02,11
Mar-03,16
Apr-04,24
Mar-05,33
Feb-06,42
Mar-07,47
Apr-08,55
Apr-09,62
May-10,64
Aug-11,62
Apr-12,66
Dec-12,65
May-13,70
Sep-13,70
