year,world,developed,developing,n_africa,sub_africa,lat_america,c_asia,e_asia,s_asia,se_asia,w_asia,oceania
1990,90,15,99,73,177,54,73,53,126,71,65,74
2012,48,6,53,22,98,19,36,14,58,30,25,55
