Year,White,Hispanic,Asian,Black,Other
1850,82.3,17.0,0.0,0.7,0.0
1860,77.9,11.0,9.2,1.6,0.3
1870,83.3,6.9,9.2,0.5,0.2
1880,83.3,5.8,9.7,0.6,0.6
1900,90.9,4.0,3.6,0.5,1.0
1910,90.7,4.5,3.2,1.0,0.6
1920,89.4,5.6,3.3,1.2,0.4
1930,87.2,8.2,2.9,1.4,0.3
1940,88.0,7.7,2.2,1.9,0.2
1950,86.3,7.6,1.7,4.3,0.2
1960,81.8,10.4,2.0,5.4,0.3
1970,76.4,13.5,2.7,6.8,0.6
1980,66.8,19.3,5.4,7.5,1.0
1990,57.5,25.4,9.2,7.0,0.8
2000,46.5,32.4,11.0,6.4,3.7
2010,40.0,37.7,13.3,5.8,3.1
2012,39.2,38.2,13.6,5.7,3.4
