yr,Top 20%,Top 10% ,Top 5%,Top 1%,In Poverty,1.25*Poverty And Below,1.5*Poverty And Below
1,73.4,56.4,39.3,12.4,38.9,46.8,54.1
2,60.5,39.4,24.8,5.3,19.9,24.9,32.2
3,53,32,17.7,3.3,12.9,17.1,22.2
4,46.5,27.1,13.2,2.5,8.7,12.7,16.5
5,40.8,20.8,9.1,1.6,6.1,9.1,12.4
10,23,9.7,4.5,0.6,1.7,3.5,5.2
