"menu_item_id","region","crust","size","variable","value","radius","area","px_inc"
" 9480504","South","hand-tossed","14","two_topping_px","12"," 7","154","0.076"
" 3392094","Midwest","thin","14","zero_topping_px","16"," 7","154","0.107"
" 9839824","Midwest","thin","12","four_topping_px","16"," 6","113","0.137"
"10803344","West","deep dish","24","four_topping_px","30","12","452","0.067"
" 7725931","South","thin","14","three_topping_px","12"," 7","154","0.078"
"  110820","West","thin","12","two_topping_px","18"," 6","113","0.155"
" 8569253","South","thin","14","two_topping_px","12"," 7","154","0.078"
"11984915","West","thin","16","one_topping_px","12"," 8","201","0.062"
" 9995929","Midwest","stuffed"," 8","one_topping_px"," 8"," 4"," 50","0.162"
"10331166","West","thin","18","zero_topping_px","23"," 9","254","0.091"
" 8861041","Northeast","hand-tossed","12","two_topping_px"," 6"," 6","113","0.053"
"10759770","Midwest","thin","14","one_topping_px","16"," 7","154","0.102"
" 5645944","South","hand-tossed","14","zero_topping_px","11"," 7","154","0.071"
" 9889173","Northeast","thin","14","two_topping_px"," 7"," 7","154","0.045"
" 8746744","Midwest","thin","20","zero_topping_px","26","10","314","0.084"
" 3467331","West","hand-tossed","12","three_topping_px","11"," 6","113","0.097"
" 9938750","West","thin","10","one_topping_px"," 9"," 5"," 79","0.114"
" 7923976","Midwest","thin","14","one_topping_px","12"," 7","154","0.081"
" 1636905","South","hand-tossed","16","three_topping_px","12"," 8","201","0.060"
" 9684304","Midwest","stuffed","12","four_topping_px","26"," 6","113","0.229"
" 6818759","Midwest","thin","14","three_topping_px","12"," 7","154","0.078"
" 7483773","Midwest","thin","14","two_topping_px","19"," 7","154","0.122"
"  104143","West","thin","18","four_topping_px","24"," 9","254","0.092"
" 9935650","West","thin","16","one_topping_px","15"," 8","201","0.076"
"  914245","Midwest","thin","14","zero_topping_px","14"," 7","154","0.091"
"10751124","West","hand-tossed","16","two_topping_px","17"," 8","201","0.087"
" 3396425","West","hand-tossed","10","three_topping_px"," 7"," 5"," 79","0.089"
" 2955710","Northeast","hand-tossed"," 9","zero_topping_px"," 6"," 4"," 64","0.090"
"   24179","Midwest","stuffed","16","three_topping_px","21"," 8","201","0.104"
"   56208","Midwest","thin","14","zero_topping_px","11"," 7","154","0.072"
" 9156824","South","thin","10","two_topping_px","10"," 5"," 79","0.122"
"  909909","Midwest","thin"," 8","zero_topping_px"," 6"," 4"," 50","0.118"
" 2280807","Midwest","thin","10","one_topping_px"," 7"," 5"," 79","0.089"
" 9584324","Midwest","thin","14","one_topping_px","12"," 7","154","0.077"
"11910925","Midwest","stuffed","30","three_topping_px","44","15","707","0.063"
" 7777916","Northeast","thin","10","zero_topping_px"," 6"," 5"," 79","0.076"
" 7317575","Midwest","hand-tossed","10","one_topping_px"," 8"," 5"," 79","0.102"
"10751123","West","hand-tossed","14","one_topping_px","13"," 7","154","0.083"
" 8766212","West","hand-tossed","14","zero_topping_px","13"," 7","154","0.084"
" 9943232","Midwest","thin","24","zero_topping_px","28","12","452","0.061"
"10320096","Midwest","thin","30","one_topping_px","37","15","707","0.052"
" 9773077","Midwest","thin","14","zero_topping_px","18"," 7","154","0.117"
" 8379366","Midwest","deep dish","12","one_topping_px","12"," 6","113","0.106"
