"size","median","mean"
" 8"," 9","10"
" 9","13","14"
"10","14","14"
"11","16","17"
"12","16","16"
"13","20","20"
"14","18","18"
"15","22","22"
"16","20","20"
"18","23","24"
"20","26","26"
"24","29","28"
"30","40","41"
