"size","median","mean"
" 8"," 9"," 9"
" 9","10","11"
"10","12","12"
"11","12","13"
"12","14","15"
"13","15","15"
"14","16","15"
"15","18","19"
"16","19","19"
"17","19","19"
"18","19","18"
"20","22","23"
"24","23","24"
"26","28","28"
