"size","median","mean"
" 8"," 7"," 9"
" 9"," 8"," 8"
"10"," 9","10"
"11","11","11"
"12","11","12"
"13","13","14"
"14","14","14"
"15","16","17"
"16","16","17"
"17","18","17"
"18","18","19"
"19","17","18"
"20","20","21"
"21","32","33"
"22","31","31"
"23","23","23"
"24","27","28"
"25","20","24"
"26","25","28"
"28","33","34"
"30","36","39"
