"size","median","mean"
" 8"," 8"," 9"
" 9","10","10"
"10","10","11"
"11","12","13"
"12","12","13"
"13","13","14"
"14","14","15"
"15","17","18"
"16","16","17"
"17","17","17"
"18","18","19"
"19","17","18"
"20","20","21"
"21","32","33"
"22","26","29"
"23","23","23"
"24","25","27"
"25","20","24"
"26","25","28"
"28","33","34"
"30","40","40"
