msa,"Bloomington, IN","Corvallis, OR","Santa Barbara, CA","Salinas, CA","Ames, IA","Madera-Chowchilla, CA","Flagstaff, AZ","College Station-Bryan, TX","Muncie, IN","Logan, UT-ID","Chico, CA","State College, PA","Lake Havasu City-Kingman, AZ","Las Cruces, NM","St. George, UT","Provo-Orem, UT","Harrisonburg, VA","Lawrence, KS","Visalia-Porterville, CA","Yuma, AZ","Fresno, CA","Yakima, WA","Eugene-Springfield, OR","Lubbock, TX","McAllen-Edinburg-Mission, TX","Medford, OR","Blacksburg, VA","Athens, GA","El Centro, CA","Myrtle Beach, SC","Brownsville-Harlingen, TX","Bakersfield-Delano, CA","Lansing-East Lansing, MI","Pocatello, ID","Merced, CA","Tuscaloosa, AL","Laredo, TX","Morgantown, WV","Sebastian-Vero Beach, FL","El Paso, TX","Hattiesburg, MS","Salem, OR","Missoula, MT","Mansfield, OH","Auburn-Opelika, AL","Bowling Green, KY","Prescott, AZ","Champaign-Urbana, IL","Tallahassee, FL","Greenville, NC","Santa Cruz-Watsonville, CA","Los Angeles, CA","Ocala, FL","Riverside, CA","Terre Haute, IN","Vineland-Millville-Bridgeton, NJ","Hanford-Corcoran, CA","Bellingham, WA","Cumberland, MD-WV","Gadsden, AL","Great Falls, MT","Fort Collins-Loveland, CO","Ann Arbor, MI","Kalamazoo-Portage, MI","Naples-Marco Island, FL","Santa Rosa-Petaluma, CA","Coeur d'Alene, ID","Wenatchee-East Wenatchee, WA","Miami, FL","Rocky Mount, NC","Flint, MI","Anniston-Oxford, AL","Jacksonville, NC","Springfield, OH","Redding, CA","Sarasota, FL","Gainesville, FL","Goldsboro, NC","Waco, TX","Modesto, CA","Morristown, TN","San Diego, CA","Lima, OH","Idaho Falls, ID","Napa, CA","Punta Gorda, FL","Valdosta, GA","Bangor, ME","Joplin, MO","Bend, OR","Cape Coral-Fort Myers, FL","Daytona Beach, FL","Tucson, AZ","Muskegon-Norton Shores, MI","La Crosse, WI-MN","Yuba City, CA","San Angelo, TX","Albany, GA","Stockton, CA","Oxnard-Thousand Oaks-Ventura, CA","Manhattan, KS","Orlando-Kissimmee-Sanford, FL","Honolulu, HI","Ithaca, NY","Eau Claire, WI","Wilmington, NC","Port St. Lucie, FL","Reno-Sparks, NV","Lewiston, ID-WA","Jackson, MI","Panama City, FL","Savannah, GA","Binghamton, NY","Atlantic City-Hammonton, NJ","Boise City-Nampa, ID","Abilene, TX","Dalton, GA","Columbia, MO","Carson City, NV","Saginaw-Saginaw Township North, MI","Duluth, MN-WI","San Luis Obispo-Paso Robles, CA","Tyler, TX","Palm Bay-Melbourne-Titusville, FL","Ocean City, NJ","Pueblo, CO","Rapid City, SD","Grand Forks, ND-MN","Iowa City, IA","Springfield, MO","Gulfport-Biloxi, MS","Lawton, OK","Asheville, NC","Mankato, MN","Niles-Benton Harbor, MI","Youngstown, OH","South Bend-Mishawaka, IN-MI","Fort Smith, AR-OK","Bay City, MI","Santa Fe, NM","Longview, TX","Salisbury, MD","Lakeland-Winter Haven, FL","Corpus Christi, TX","Erie, PA","Altoona, PA","Burlington, NC","Hickory-Lenoir-Morganton, NC","Pittsfield, MA","Boulder, CO","Sioux City, IA-NE-SD","Janesville, WI","Grand Junction, CO","Farmington, NM","Johnson City, TN","Gainesville, GA","Elkhart-Goshen, IN","Crestview-Fort Walton Beach-Destin, FL","Battle Creek, MI","Brunswick, GA","Vallejo-Fairfield, CA","Spartanburg, SC","Spokane, WA","Pensacola-Ferry Pass-Brent, FL","Clarksville, TN-KY","Amarillo, TX","Toledo, OH","Decatur, IL","Elmira, NY","Lynchburg, VA","Lincoln, NE","Beaumont-Port Arthur, TX","San Antonio-New Braunfels, TX","St. Joseph, MO-KS","Hot Springs, AR","Alexandria, LA","Wheeling, WV-OH","Scranton--Wilkes-Barre, PA","Greenville-Mauldin-Easley, SC","St. Cloud, MN","Cleveland, TN","Mobile, AL","Bloomington-Normal, IL","Pine Bluff, AR","Columbus, GA-AL","Macon, GA","Kokomo, IN","Lake Charles, LA","Texarkana, TX-Texarkana, AR","Greensboro-High Point, NC","Salt Lake City, UT","Sumter, SC","Chattanooga, TN-GA","Lafayette, LA","Sherman-Denison, TX","Dayton, OH","Durham-Chapel Hill, NC","Lexington-Fayette, KY","Winston-Salem, NC","Kankakee-Bradley, IL","Florence, SC","Greeley, CO","Kingsport-Bristol-Bristol, TN-VA","Tampa-St. Petersburg-Clearwater, FL","Cape Girardeau-Jackson, MO-IL","Dover, DE","Canton-Massillon, OH","Fayetteville, NC","Augusta-Richmond County, GA-SC","Burlington-South Burlington, VT","Monroe, LA","Montgomery, AL","Portland, ME","Grand Rapids-Wyoming, MI","Colorado Springs, CO","Reading, PA","Jacksonville, FL","Fayetteville-Springdale-Rogers, AR-MO","Charleston, SC","Parkersburg-Marietta-Vienna, WV-OH","Mount Vernon-Anacortes, WA","Fairbanks, AK","Jackson, MS","Billings, MT","Decatur, AL","Dothan, AL","Las Vegas-Paradise, NV","Glens Falls, NY","Williamsport, PA","Kingston, NY","New York City, NY","Wichita Falls, TX","Lancaster, PA","Dubuque, IA","Waterloo-Cedar Falls, IA","Lewiston-Auburn, ME","Chicago, IL","Oklahoma City, OK","Monroe, MI","New Orleansr, LA","Huntington-Ashland, WV-KY-OH","Evansville, IN-KY","Hagerstown-Martinsburg, MD-WV","Casper, WY","Johnstown, PA","Utica-Rome, NY","Owensboro, KY","Sacramento, CA","Barnstable Town, MA","Hinesville-Fort Stewart, GA","Virginia Beach-Norfolk-Newport News, VA-NC","Longview, WA","Allentown-Bethlehem-Easton, PA-NJ","Bremerton-Silverdale, WA","Victoria, TX","Albuquerque, NM","Memphis, TN-MS-AR","Houston, TX","Rochester, NY","Lebanon, PA","Phoenix-Mesa-Glendale, AZ","Rome, GA","Killeen-Temple-Fort Hood, TX","Jonesboro, AR","Portland, OR","Detroit-Warren-Livonia, MI","Olympia, WA","Ogden-Clearfield, UT","Dallas-Fort Worth, TX","Columbus, IN","Kennewick-Pasco-Richland, WA","Knoxville, TN","Springfield, MA","Austin-Round Rock-San Marcos, TX","Shreveport-Bossier City, LA","Providence-New Bedford-Fall River, RI-MA","New Haven-Milford, CT","Charlottesville, VA","Madison, WI","Topeka, KS","Oshkosh-Neenah, WI","Louisville/Jefferson County, KY-IN","Rockford, IL","Syracuse, NY","Trenton-Ewing, NJ","Columbia, SC","Fargo, ND-MN","Roanoke, VA","Wichita, KS","Odessa, TX","Harrisburg-Carlisle, PA","Nashville, TN","Michigan City-La Porte, IN","Buffalo-Niagara Falls, NY","Charlottel, NC","Baton Rouge, LA","Cheyenne, WY","Norwich-New London, CT","Philadelphia, PA","Anchorage, AK","Atlanta, GA","Wausau, WI","Houma-Bayou Cane-Thibodaux, LA","Sioux Falls, SD","Omaha-Council Bluffs, NE-IA","Tulsa, OK","Green Bay, WI","Fort Wayne, IN","Akron, OH","Florence-Muscle Shoals, AL","Bridgeport-Stamford-Norwalk, CT","Jackson, TN","Richmond, VA","Indianapolis-Carmel, IN","York-Hanover, PA","Pittsburgh, PA","Peoria, IL","Milwaukee, WI","Sheboygan, WI","Davenport, IA","Cincinnati, OH","Little Rock, AR","Columbus, OH","Denver-Aurora-Broomfield, CO","Winchester, VA-WV","Boston, MA",San Francisco,"Birmingham-Hoover, AL","Huntsville, AL","Warner Robins, GA","Kansas City, MO-KS","Racine, WI","Cleveland-Elyria-Mentor, OH","Cedar Rapids, IA","Worcester, MA","Seattle, WA","Albany, NY","Elizabethtown, KY","Appleton, WI","St. Louis, MO","Springfield, IL","Manchester-Nashua, NH","Charleston, WV","San Jose, CA","Midland, TX",Minneapolis-St. Paul MN,"Fond du Lac, WI","Bismarck, ND","Jefferson City, MO","Baltimore, MD","Raleigh-Cary, NC","Washington, DC","Des Moines, IA","Hartford, CT","Danville, IL","Rochester, MN"
1,18016,19949,24561,22433,18654,20305,20911,20047,19091,19389,21420,21953,20275,20032,20932,21369,20363,21137,21248,20803,21995,21499,22278,21431,19442,22551,20535,21300,21399,21874,20039,23102,22459,21565,22954,21436,21645,21550,22426,22211,20789,23764,23758,22125,21656,21304,24147,23615,23903,22216,30525,29815,23232,26888,22371,26606,24226,25187,22403,21532,23987,25562,26067,23658,25266,30214,23903,24678,27055,22381,24180,21928,24856,23165,25558,25615,24977,22503,23802,25730,21471,31055,23294,23848,31074,25095,21947,25577,23181,25523,25099,25293,25707,23633,24892,26175,24556,22742,26908,30738,24653,26327,33053,28121,24862,25375,25864,26874,24823,24657,26160,25922,26188,29686,25955,25081,23344,25386,26959,24695,25351,29582,26265,26557,30181,25648,25695,25865,26740,24910,25340,25587,25739,24737,25242,24932,25573,24094,25020,27982,25908,25405,26535,26161,26277,25824,25525,25286,27459,30981,25678,26436,27096,26484,25263,25980,26294,27807,26017,24736,33478,25506,27682,27273,26281,26837,26125,26134,27485,26434,27100,26436,27414,25763,24994,25766,25351,27055,26727,27350,24425,25988,27868,25148,26259,25956,26098,26205,26377,26744,29331,26342,26806,27237,27138,26998,28236,27365,27001,29467,25451,29069,25909,29646,24708,28094,26706,27375,26896,30656,26177,27107,30357,27787,29685,29153,28999,27199,28879,26233,29785,32255,27633,28842,26263,25699,30061,29594,28175,31158,37064,27621,29958,28239,27849,28959,32491,28133,29472,29489,26461,27625,31418,29926,26748,28530,26655,31467,31424,28376,30655,29082,30889,32362,28144,29985,28601,31265,30324,29558,31125,25691,28894,25576,31460,30652,32776,30250,31756,27435,30581,28857,30536,31073,28786,31564,35932,31421,31051,28540,29461,28991,29382,30813,35832,29627,30104,29378,29406,30174,31147,30375,27324,30477,30660,30305,31344,32986,35563,36437,31504,30487,30553,30749,31233,30168,30554,30241,29370,28120,40413,27128,32108,31287,32086,31202,30560,31846,30502,30826,30775,30649,31589,35104,31005,37954,41265,30688,31083,31055,31705,31995,30561,31279,36282,36864,34182,29914,32215,30681,31967,37723,31236,42802,34462,36358,30800,33892,29283,39866,35012,44452,35184,37769,30079,35844
2,18309,19443,19712,19870,19972,19985,20165,20168,20202,20260,20284,20383,20521,20546,20869,20929,20993,21011,21100,21141,21375,21521,21629,21691,21699,21831,21939,22004,22015,22252,22340,22539,22572,22629,22749,22951,23100,23122,23167,23209,23280,23298,23361,23638,23642,23750,23790,23854,23855,23863,23866,23929,23975,24007,24029,24034,24058,24079,24089,24112,24156,24184,24203,24215,24224,24249,24292,24313,24440,24460,24474,24528,24561,24591,24599,24606,24608,24620,24640,24646,24679,24765,24834,24842,24899,24970,24997,25002,25061,25072,25074,25142,25154,25195,25220,25265,25315,25353,25385,25445,25468,25511,25524,25565,25578,25631,25633,25643,25697,25738,25773,25896,25980,25995,26007,26045,26054,26117,26123,26215,26243,26272,26318,26320,26336,26360,26408,26447,26475,26500,26534,26543,26562,26570,26599,26608,26666,26712,26731,26751,26764,26799,26803,26804,26813,26816,26925,26957,26973,26987,27029,27031,27042,27135,27135,27204,27219,27235,27271,27272,27307,27367,27381,27383,27433,27441,27616,27655,27679,27680,27681,27682,27719,27762,27771,27885,27889,27892,27899,27908,27914,27944,27952,27973,27995,28000,28062,28087,28091,28092,28095,28113,28128,28137,28151,28152,28180,28182,28185,28225,28248,28250,28285,28315,28335,28349,28350,28397,28431,28438,28453,28534,28558,28558,28571,28581,28599,28600,28621,28639,28639,28646,28665,28670,28671,28682,28739,28760,28779,28797,28799,28802,28833,28845,28859,28901,28907,28914,28922,28939,28951,28987,29037,29054,29106,29112,29163,29163,29204,29223,29279,29317,29334,29340,29439,29455,29455,29467,29469,29558,29615,29632,29665,29705,29707,29730,29742,29803,29818,29821,29864,29873,29908,29935,29954,30004,30043,30068,30117,30201,30216,30262,30353,30478,30495,30512,30531,30538,30568,30571,30596,30620,30701,30816,30845,30860,30881,30886,30951,31196,31254,31301,31304,31313,31422,31425,31499,31501,31513,31560,31573,31581,31602,31603,31612,31677,31701,31719,31773,31779,31891,31926,31940,31942,32030,32274,32289,32303,32311,32383,32451,32482,32512,32515,32657,32681,32710,32729,32739,32744,32854,32860,32984,33309,33393,33479,34071,34200,34410,34606,34907,35029,35325,35497,35937,36279
