Food At Home,Food Away From Home,Rent,Clothes,Health And Beauty,Utilities,Gasoline,Auto Insurance,Mass Transit,Tobacco,Alcohol,Night Clubs,Airfare,Entertainment And Gambling,Non Durables,age
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25
1.004821876,0.995327523,0.985930928,0.986831094,0.959835802,1.05657012,0.948329644,0.86195057,1.022062457,1.049845259,0.925145891,0.82067344,0.847834439,0.872991292,0.980723968,26
1.021118996,1.030712428,0.970280952,0.961934679,0.984606725,1.059772816,0.971220449,0.8305401,0.537475949,1.220736114,1.04390649,0.971575093,1.088535717,0.886357107,0.994611953,27
1.090041016,0.952671391,1.041292418,1.014732996,1.032250228,1.116540055,0.956975857,0.875217934,0.945156671,1.061996619,0.977103732,0.897713502,1.106567631,0.964535951,1.033950764,28
1.081809968,1.019559639,1.087019093,1.030086075,1.042487339,1.163343243,0.940656879,0.906063673,0.795906147,1.083279052,0.933315794,0.792478552,1.122293369,1.002627289,1.062271461,29
1.103640646,1.096965285,1.145035117,1.10316995,1.171763849,1.197944227,0.99001593,0.860126709,0.807332629,1.032402456,1.00603154,0.798887631,1.061293958,1.084177752,1.107869883,30
1.157470634,1.023894478,1.13404383,1.104026359,1.064152109,1.239233841,0.918517495,0.788191696,1.086474807,1.029609556,0.992517949,0.741320927,1.064803422,1.033025445,1.094451313,31
1.17595204,1.104790027,1.227424278,1.157816724,1.160616101,1.265300362,0.944415362,0.795953026,1.056654552,0.922457169,0.992135034,0.779192306,1.336735394,1.170115468,1.158585815,32
1.144473548,1.039114635,1.205600985,1.138933582,1.144474957,1.323096252,0.962816225,0.881918701,0.961563809,0.983602847,0.968639036,0.620870643,0.986868325,1.162994705,1.144049276,33
1.230042945,1.038904245,1.222211589,1.124172107,1.140178872,1.312914032,0.946421408,0.856478406,0.770589183,0.966745523,0.886662969,0.611408836,1.030390083,1.18267033,1.15358383,34
1.230582036,1.010392789,1.228431186,1.1009222,1.100014674,1.367400056,0.974468866,0.812108012,0.612240586,0.913116804,0.821886362,0.553313089,0.928354891,1.18122748,1.154445888,35
1.240054721,0.94996238,1.217224004,1.117852603,1.108506346,1.336110853,0.94998142,0.776346702,0.876363621,0.951556052,0.867756875,0.467192668,0.915228338,1.179876254,1.138591036,36
1.240266906,1.037748576,1.214250909,1.14704746,1.12942263,1.360932466,0.994211282,0.836141927,0.802844147,0.99730972,0.873508836,0.544568556,0.935936788,1.201819814,1.164199065,37
1.292852212,1.044597019,1.249432912,1.170797059,1.178679016,1.380512259,0.9874319,0.822632244,0.880350877,1.052351362,0.841476504,0.448372179,1.131671234,1.244281322,1.190088597,38
1.298635012,1.036593224,1.217887637,1.165463561,1.1472901,1.429713403,1.003003893,0.846774163,0.874570828,0.957752987,0.806070212,0.45055352,1.003234895,1.207519313,1.180638128,39
1.353654859,1.098211378,1.277986895,1.237313453,1.280376857,1.450036697,1.036545055,0.886710861,0.830629883,1.074835267,0.87753261,0.480789822,1.107299132,1.294007862,1.240338038,40
1.376489101,1.121024045,1.318612759,1.258045195,1.271898749,1.481966055,1.044987199,0.917116733,0.776775346,0.993471169,0.823122593,0.461903778,1.108818994,1.359643025,1.269359203,41
1.339775531,1.12678709,1.305561153,1.303948227,1.220255718,1.52624498,1.05281703,0.963869324,0.848048686,1.015007453,0.869738014,0.481143283,1.038964731,1.359393621,1.269496665,42
1.380909451,1.205378476,1.368717078,1.315427329,1.316661755,1.5528464,1.083057597,0.983298306,0.822910097,0.946005628,0.888017751,0.503627965,1.054828266,1.407043861,1.311875712,43
1.364283394,1.183457382,1.377641307,1.308430206,1.266141453,1.531107873,1.055647485,0.988892575,0.917257394,0.947173612,0.805665108,0.46259575,1.233554799,1.469207704,1.315467986,44
1.389312074,1.193817568,1.360183077,1.28621895,1.302642141,1.577643133,1.134178382,1.048352158,0.760842775,1.152976538,0.813196608,0.407047457,1.076777912,1.427046072,1.317981043,45
1.372162662,1.201595884,1.343011058,1.25717541,1.290373515,1.595267052,1.139599099,1.106870375,0.75227061,1.033562069,0.861949124,0.502332578,1.227446661,1.458377709,1.32510125,46
1.388671966,1.189419843,1.383279944,1.311670435,1.36185326,1.598102304,1.155316222,1.075337364,0.734845225,1.076078867,0.792617482,0.425148755,1.211583126,1.395015295,1.336260481,47
1.390541528,1.268750866,1.357417114,1.30178606,1.382208488,1.647115899,1.175131626,1.090718006,0.891077191,1.014760624,0.891470956,0.464322038,1.212213713,1.42595155,1.362090056,48
1.395623813,1.279322075,1.414348948,1.302929281,1.383863295,1.69079677,1.195854356,1.178235569,0.843292314,1.157578532,0.835108963,0.491180903,1.176034628,1.473557375,1.389833855,49
1.391457274,1.25254006,1.443216326,1.257955153,1.405220409,1.695738127,1.187771868,1.119065692,0.786114817,1.116989922,0.855177114,0.457999599,1.138437108,1.349027493,1.378515958,50
1.384588676,1.347403449,1.452306575,1.303959877,1.372568193,1.724978638,1.212654142,1.158733034,0.74006876,1.146030743,0.859897615,0.464746422,1.248065466,1.437688781,1.420918403,51
1.40719855,1.34283163,1.476203667,1.336944711,1.472573619,1.724251404,1.17220579,1.221625639,1.020514682,1.304030559,1.042055313,0.566601252,1.456611428,1.581502633,1.444244427,52
1.411733622,1.318835122,1.510273624,1.302018789,1.431546874,1.738562586,1.23648544,1.157886153,0.762219087,1.208834824,0.92822379,0.554130038,1.368430192,1.453178417,1.437328219,53
1.364969188,1.208538549,1.505376576,1.194625912,1.442783404,1.742187268,1.152128434,1.150477762,0.806738432,1.163555642,0.857967192,0.461796819,1.330477166,1.347286631,1.402868555,54
1.376825145,1.365963998,1.468216927,1.244381201,1.401319529,1.748348655,1.145775041,1.127219646,0.925583884,1.219893545,1.026138997,0.587820066,1.558558,1.526876365,1.437206844,55
1.398626382,1.281249772,1.521427337,1.201127083,1.541754267,1.739273552,1.211207069,1.097616756,0.787089622,1.294360458,0.987484904,0.45451367,1.444006864,1.318091239,1.428747851,56
1.4174484,1.283257659,1.508406285,1.236418784,1.54263716,1.723022763,1.107520537,1.114097935,1.08310462,1.292604295,0.994632855,0.456360718,1.485146633,1.282211153,1.43103205,57
1.380314521,1.146731952,1.500834259,1.171198509,1.514421601,1.801495038,1.109381664,1.075749176,0.693953262,1.152564705,0.829934543,0.433473121,1.516153984,1.328449601,1.38904857,58
1.38621255,1.227469444,1.49707734,1.189544561,1.599616386,1.767552392,1.100142574,1.029563497,0.709728685,1.219397725,0.847655123,0.493048652,1.528070077,1.361232785,1.401311147,59
1.369632179,1.118998222,1.493193939,1.130785903,1.495318575,1.690521187,1.067442932,1.004959035,0.866867168,1.105882321,0.79465758,0.370214879,1.471845913,1.301505527,1.370320921,60
1.366191027,1.208812879,1.467903757,1.099499647,1.460740273,1.681637461,1.082323498,1.027307038,0.719357767,1.090581589,0.772073223,0.438056237,1.47392977,1.311930202,1.364766897,61
1.369787003,1.102488819,1.480159182,1.12819021,1.529415972,1.68654437,1.063885454,1.044195959,0.503655931,1.128242541,0.80858198,0.399359859,1.388906078,1.244504948,1.364888272,62
1.354589894,1.074510302,1.448193576,0.973061379,1.410371641,1.682833568,1.000231004,0.995707596,0.619633408,1.021259479,0.761925985,0.386994836,1.369128909,1.326776603,1.325814879,63
1.318888009,1.015103144,1.388117009,0.903285912,1.523302313,1.669157759,1.037498223,1.02340406,0.518489624,1.095687234,0.786016008,0.387299227,1.464093948,1.214298426,1.286421961,64
1.304649793,0.992179162,1.47695559,0.92472289,1.505778875,1.662711221,0.950538491,0.943687365,0.652778763,1.011184026,0.651510896,0.34332776,1.386500013,1.119660127,1.289864345,65
1.333507447,0.971377124,1.44187895,0.94239161,1.513534393,1.651959654,0.932932885,0.921564383,0.433471431,0.912989608,0.711083287,0.348230258,1.257761443,1.227870318,1.283821894,66
1.321753013,0.998957862,1.461625075,0.965034522,1.488682086,1.659245381,0.908745311,0.935601732,0.424851381,1.080455906,0.66245693,0.324602729,1.731053454,1.207618237,1.310349013,67
1.29768424,0.993272157,1.527732978,0.949656559,1.537344739,1.735784747,0.921876502,0.894033487,0.50538027,0.817077419,0.757441319,0.342449512,1.201616167,1.151876948,1.312622244,68
1.331735855,0.932599387,1.47803888,0.920374392,1.51461273,1.661595492,0.837431298,0.830459714,0.439594406,0.664955063,0.715039227,0.32095897,1.676578644,1.256144032,1.29918832,69
1.269504767,0.934830642,1.45509051,0.831719811,1.501123345,1.62394013,0.805888999,0.847918019,0.444826497,0.735195627,0.577829749,0.286198934,1.364310632,1.080792311,1.241740436,70
1.268010843,0.807646406,1.483815231,0.820705449,1.375030057,1.672581496,0.781751492,0.869740101,0.411457187,0.637644749,0.604865172,0.284237606,1.10021566,1.047602254,1.260930189,71
1.245869501,1.010717448,1.538142182,0.857728523,1.534783611,1.750138988,0.849330681,0.875568403,0.391994321,0.664927517,0.561925034,0.283375919,1.551353123,1.310210149,1.32842957,72
1.231524178,0.879139181,1.569010568,0.780163244,1.471928096,1.723412216,0.726055102,0.771750491,0.405023045,0.432555037,0.433614074,0.23671615,1.16991266,1.137582466,1.274356801,73
1.191842049,0.830298168,1.539970431,0.7913003,1.552368704,1.697941835,0.738464129,0.842395414,0.309818596,0.464833809,0.410176147,0.216564353,1.032914479,1.051004311,1.247904263,74
1.226812963,0.797350266,1.548694042,0.862986074,1.485775077,1.678419455,0.72428608,0.880672219,0.306794462,0.362776265,0.475073524,0.190383583,1.057676408,1.01115332,1.260260431,75
