Group,Millennials,Overall population
White,56.0402108,62.210608
Hispanic,21.0190183,17.3117533
Black,13.901704,12.380865
Asian,5.6231817,5.1885459
Two or more races,2.3771984,2.0004247
Native American,0.8293453,0.7377881
Pacific Islander,0.2093415,0.1700151
