date,All,Total private,Construction,Manufacturing,"Trade, transportation, and utilities",Retail trade,Professional and business services,Education and health services,Health care and social assistance,Leisure and hospitality,"Arts, entertainment, and recreation",Accommodation and food services,Government,State and local
12/1/00,2.3,2.6,1.8,1.9,2.6,3.6,3.1,2,2.3,5.2,2.3,5.7,0.7,0.7
1/1/01,2.5,2.7,2.2,1.7,2.6,3.1,3.4,1.8,2,5.8,2.3,6.4,0.9,0.9
2/1/01,2.5,2.8,2.5,1.4,3.2,3.9,3.2,2.1,2.3,5,2.9,5.4,0.8,0.9
3/1/01,2.4,2.7,3,1.4,2.8,3.4,3.4,2.1,2.3,5,2.7,5.4,0.8,0.8
4/1/01,2.4,2.7,2.9,1.3,3,3.8,3.3,2,2.2,5,3.6,5.2,0.8,0.8
5/1/01,2.3,2.6,2.4,1.3,2.9,3.5,3.4,2,2.1,5.1,3.5,5.3,0.9,0.9
6/1/01,2.2,2.6,2.4,1.2,2.9,3.7,3.1,2,2,4.8,3.3,5.1,0.6,0.6
7/1/01,2.2,2.5,2.4,1.1,2.7,3.5,3.3,1.8,1.9,4.9,2.9,5.2,0.7,0.7
8/1/01,2.2,2.4,2.1,1.2,2.5,3.1,3,1.7,1.9,5,3.9,5.2,0.8,0.8
9/1/01,2.1,2.4,2.1,1.1,2.5,3.2,2.9,1.9,2.1,4.9,3.6,5.2,0.7,0.7
10/1/01,2.2,2.5,2.2,1.2,2.6,3.4,3.2,1.7,1.9,4.6,3.4,4.9,0.6,0.6
11/1/01,2,2.3,2.3,1.1,2.3,3,3.2,1.7,1.9,4.1,3.2,4.3,0.8,0.7
12/1/01,2,2.2,2,1,2.5,3.2,2.8,1.8,1.9,4,3.5,4.1,0.8,0.8
1/1/02,2.2,2.4,2.4,1.1,2.5,3.1,3.4,1.7,1.8,4.7,3.8,4.8,0.7,0.7
2/1/02,2.1,2.3,2.5,1.2,2.2,2.7,3.2,1.6,1.8,4.5,3.7,4.7,0.8,0.8
3/1/02,2,2.3,2.1,1.2,2.2,2.8,3.3,1.4,1.5,4.5,3.6,4.7,0.6,0.6
4/1/02,2.1,2.3,2.6,1.3,2.3,2.6,3,1.7,1.8,4.7,3.6,4.9,0.8,0.8
5/1/02,2,2.3,2.3,1.3,2.1,2.6,3.2,1.7,1.9,4.4,3.6,4.5,0.6,0.6
6/1/02,2,2.2,1.9,1.3,2.4,3.1,2.6,1.6,1.8,4.3,3,4.5,0.7,0.7
7/1/02,2,2.3,2.5,1.3,2.3,2.8,2.9,1.8,1.9,4.3,2.8,4.5,0.6,0.6
8/1/02,2,2.3,2.3,1.3,2.2,2.8,3,1.7,1.7,4.2,2.5,4.4,0.7,0.6
9/1/02,2,2.3,2.5,1.2,2.2,2.8,3.1,1.5,1.6,4.3,3.4,4.5,0.7,0.7
10/1/02,2,2.2,2.2,1.1,2.2,2.6,3.1,1.7,1.8,4,2.6,4.2,0.7,0.7
11/1/02,1.9,2.2,1.6,1.2,2.2,3,3,1.6,1.7,3.9,1.7,4.3,0.7,0.7
12/1/02,2,2.3,2.2,1,2.1,2.7,3.5,1.8,2,4,2.4,4.3,0.7,0.6
1/1/03,1.9,2.2,2.1,1.2,2,2.6,2.8,1.7,1.8,4,2.5,4.2,0.6,0.6
2/1/03,1.9,2.2,2.1,1.1,2.2,2.9,2.8,1.6,1.7,4.2,2.5,4.5,0.6,0.6
3/1/03,1.9,2.1,1.9,1.1,2.2,2.7,2.6,1.5,1.5,4,2.4,4.3,0.6,0.6
4/1/03,1.8,2.1,1.4,1.1,2,2.5,2.7,1.4,1.6,4,2.1,4.3,0.6,0.6
5/1/03,1.8,2,2.3,1.2,2.1,2.7,2.1,1.5,1.6,3.7,1.7,4,0.6,0.6
6/1/03,1.8,2,2.3,1.1,2,2.5,2.5,1.6,1.6,4,2.5,4.3,0.6,0.5
7/1/03,1.8,2,2.1,1.3,2,2.5,2.5,1.4,1.6,4.1,2.6,4.4,0.6,0.6
8/1/03,1.8,2,2.3,1.2,2,2.5,2.3,1.6,1.7,3.9,2.8,4.1,0.6,0.6
9/1/03,1.9,2.2,2,1.2,2.2,2.7,2.3,1.8,1.9,4,3,4.2,0.6,0.6
10/1/03,1.9,2.1,2.1,1.2,2.3,2.8,2.3,1.6,1.7,4.2,2.8,4.4,0.6,0.6
11/1/03,1.9,2.1,2.4,1.2,2.1,2.5,2.1,1.5,1.6,4.1,3.4,4.2,0.6,0.6
12/1/03,1.9,2.1,2.8,1.4,2.1,2.4,2.4,1.6,1.7,3.8,2.3,4,0.6,0.7
1/1/04,1.8,2.1,2.2,1.3,2.2,2.9,2.1,1.7,1.8,3.7,1.9,4,0.6,0.6
2/1/04,1.9,2.1,2.3,1.3,2.1,2.7,2.2,1.6,1.7,3.8,1.4,4.3,0.7,0.7
3/1/04,2,2.3,2.5,1.4,2.2,2.9,2.7,1.6,1.8,4.2,2.2,4.5,0.6,0.6
4/1/04,2,2.3,2.5,1.4,2.4,3.2,2.2,1.6,1.8,4.2,3,4.4,0.7,0.7
5/1/04,1.9,2.1,2.2,1.2,2.1,2.6,1.9,1.6,1.7,4.3,2.1,4.7,0.6,0.6
6/1/04,2,2.3,2.7,1.4,2.3,2.8,2.7,1.6,1.7,4,2.1,4.3,0.7,0.7
7/1/04,2,2.3,2,1.3,2.4,3,2.6,1.8,1.9,4,2.6,4.3,0.6,0.7
8/1/04,2,2.2,2.2,1.2,2.4,3.1,2.8,1.6,1.7,4.2,2.3,4.5,0.6,0.6
9/1/04,2,2.2,2.4,1.5,2.3,2.9,2.7,1.6,1.6,4,2.3,4.2,0.6,0.7
10/1/04,2,2.3,2.3,1.3,2.4,3,2.7,1.5,1.6,3.9,2.3,4.2,0.6,0.6
11/1/04,2.2,2.5,2.4,1.5,2.6,3.3,3,1.6,1.8,4.6,2.8,4.9,0.6,0.6
12/1/04,2.1,2.3,2.3,1.5,2.3,2.8,2.9,1.6,1.7,4.3,2.6,4.6,0.7,0.7
1/1/05,2.1,2.4,2.5,1.3,2.5,3,2.8,1.7,1.8,4.6,3,4.8,0.6,0.7
2/1/05,2,2.3,2.4,1.3,2.3,2.8,2.9,1.7,1.8,4,2.9,4.2,0.7,0.7
3/1/05,2.1,2.4,2.8,1.3,2.6,3.2,2.8,1.8,1.9,4.2,3,4.4,0.7,0.7
4/1/05,2.1,2.4,2.2,1.3,2.4,3.1,3.1,1.8,2,4.1,3,4.3,0.6,0.7
5/1/05,2.1,2.4,2.5,1.2,2.5,3.3,2.9,1.7,1.8,4.4,3,4.7,0.7,0.7
6/1/05,2.1,2.4,2.3,1.4,2.5,3.1,2.8,1.7,1.8,4.1,3,4.3,0.7,0.7
7/1/05,2.1,2.4,2.4,1.4,2.4,3.1,2.4,1.7,1.8,4.7,3,5,0.5,0.5
8/1/05,2.2,2.5,2.7,1.4,2.6,3.3,2.8,1.7,1.8,4.7,2.6,5.1,0.7,0.7
9/1/05,2.3,2.6,3.2,1.5,2.5,3,3.1,1.8,1.9,5,2.7,5.4,0.7,0.7
10/1/05,2.2,2.5,3,1.6,2.5,3.1,2.4,1.7,1.8,5.4,3.9,5.7,0.8,0.8
11/1/05,2.2,2.5,2.6,1.4,2.5,3.2,2.4,1.7,1.8,4.9,2.5,5.3,0.7,0.7
12/1/05,2.1,2.4,3,1.3,2.7,3.4,2.4,1.7,1.8,4.4,2.7,4.7,0.7,0.7
1/1/06,2.1,2.4,2.8,1.3,2.4,3.1,2.6,1.5,1.6,5.1,3.7,5.4,0.7,0.7
2/1/06,2.2,2.5,2.6,1.4,2.6,3.3,2.6,1.7,1.8,5,2.6,5.4,0.7,0.7
3/1/06,2.2,2.5,2.6,1.5,2.7,3.4,2.8,1.6,1.7,4.8,3,5.2,0.7,0.7
4/1/06,2,2.3,2.6,1.3,2.6,3.3,2.8,1.6,1.7,4.1,2.7,4.4,0.7,0.7
5/1/06,2.2,2.5,2.7,1.6,2.6,3.3,2.8,1.8,1.8,4.6,2.6,5,0.8,0.8
6/1/06,2.2,2.5,2.6,1.3,2.5,3.1,2.7,1.9,2,4.9,2.8,5.3,0.8,0.7
7/1/06,2.2,2.5,2.4,1.5,2.6,3.4,2.6,1.8,1.9,4.4,2.1,4.8,0.7,0.7
8/1/06,2.2,2.4,2.2,1.4,2.7,3.1,2.7,1.8,1.9,4.5,2.3,4.9,0.8,0.7
9/1/06,2.1,2.4,2.2,1.3,2.4,3,3.1,1.6,1.8,4.5,2.1,4.9,0.7,0.6
10/1/06,2.2,2.4,2.2,1.4,2.4,3,3,1.8,1.9,4.6,2.8,4.9,0.7,0.7
11/1/06,2.3,2.6,2.1,1.6,2.8,3.5,3,1.7,1.8,4.9,3.3,5.2,0.8,0.7
12/1/06,2.3,2.6,2.2,1.8,2.6,3.2,3.1,1.9,2,5,3.1,5.3,0.8,0.7
1/1/07,2.2,2.5,2.1,1.7,2.5,3,3,1.7,1.8,4.6,2.3,5,0.7,0.8
2/1/07,2.2,2.5,1.9,1.5,2.6,3.2,2.9,1.7,1.9,4.8,2.8,5.1,0.7,0.7
3/1/07,2.2,2.5,1.9,1.6,2.5,3,2.9,1.7,1.8,4.6,3,4.9,0.8,0.8
4/1/07,2.1,2.4,2,1.5,2.5,3.1,2.6,1.7,1.8,4.7,2.5,5.1,0.8,0.7
5/1/07,2.2,2.4,2.1,1.5,2.6,3.1,2.6,1.8,2,4.6,2.2,5,0.8,0.8
6/1/07,2.1,2.3,1.8,1.4,2.5,3,2.6,1.6,1.7,4.7,2.6,5,0.7,0.7
7/1/07,2.1,2.4,2.4,1.4,2.2,2.8,2.7,1.7,1.8,4.8,2.8,5.1,0.7,0.7
8/1/07,2.1,2.4,2.2,1.5,2.3,2.9,2.6,1.7,1.8,4.7,3.2,5,0.7,0.7
9/1/07,1.9,2.1,1.8,1.4,2.3,2.9,2.5,1.4,1.5,3.5,2.5,3.7,0.7,0.6
10/1/07,2.1,2.3,2.1,1.4,2.3,2.9,2.6,1.6,1.7,4.6,2.6,5,0.7,0.7
11/1/07,2,2.3,2.1,1.4,2,2.6,2.6,1.7,1.8,4.9,2.8,5.3,0.7,0.7
12/1/07,2.1,2.4,2.1,1.5,2.5,3.3,2.4,1.6,1.7,4.7,3.2,5,0.6,0.6
1/1/08,2.1,2.4,1.9,1.4,2.5,3.1,2.5,1.7,1.8,4.5,3.4,4.7,0.6,0.7
2/1/08,2.1,2.3,2.2,1.4,2.3,2.8,2.7,1.6,1.7,4.5,2.4,4.8,0.6,0.7
3/1/08,1.9,2.1,1.5,1.4,2.1,2.6,2.2,1.7,1.8,4.4,2.2,4.8,0.6,0.6
4/1/08,2.1,2.4,2.3,1.3,2.4,2.9,3,1.8,2,4.4,2.4,4.7,0.7,0.7
5/1/08,1.9,2.2,1.8,1.2,2.2,2.7,2.6,1.4,1.4,4.6,2.6,5,0.6,0.6
6/1/08,1.9,2.2,2,1.2,2.2,2.7,2.7,1.5,1.6,4.2,2.1,4.6,0.6,0.6
7/1/08,1.8,2,2.1,1.1,2,2.6,2.5,1.6,1.7,4.1,2.7,4.3,0.6,0.6
8/1/08,1.8,2,2.2,1.1,2.1,2.7,2,1.5,1.5,3.8,2.1,4.1,0.7,0.7
9/1/08,1.8,2,1.6,1.1,2.1,2.7,2.3,1.5,1.5,4,2.4,4.3,0.6,0.6
10/1/08,1.8,2,1.6,1.1,2.1,2.5,2.5,1.5,1.6,3.9,1.9,4.3,0.5,0.6
11/1/08,1.6,1.8,1.3,0.9,1.9,2.4,2.1,1.3,1.4,3.4,1.5,3.8,0.5,0.5
12/1/08,1.6,1.8,1.2,0.8,2,2.4,2.1,1.2,1.4,3.4,1.3,3.7,0.6,0.6
1/1/09,1.5,1.7,1.3,0.9,1.8,2.3,2.1,1.3,1.4,3.2,1.4,3.6,0.5,0.5
2/1/09,1.4,1.6,1.3,0.8,1.5,1.9,1.7,1.4,1.4,3.2,1.8,3.5,0.4,0.5
3/1/09,1.4,1.6,1.3,0.7,1.7,2.2,1.7,1.2,1.3,3,1.6,3.2,0.4,0.5
4/1/09,1.3,1.5,1.1,0.7,1.5,1.8,1.8,1.2,1.3,3,1.9,3.2,0.4,0.5
5/1/09,1.3,1.5,1.3,0.7,1.5,1.9,1.8,1.2,1.3,2.9,2,3,0.4,0.4
6/1/09,1.3,1.5,1.3,0.8,1.5,2,1.7,1.3,1.4,2.9,2.4,3,0.4,0.5
7/1/09,1.3,1.5,1.2,0.7,1.6,2,1.6,1.2,1.3,2.8,2,2.9,0.5,0.5
8/1/09,1.3,1.5,1.1,0.7,1.6,2,1.5,1.3,1.3,2.9,2,3.1,0.4,0.5
9/1/09,1.2,1.4,1.2,0.8,1.5,1.8,1.6,1.3,1.4,2.3,0.6,2.6,0.4,0.4
10/1/09,1.3,1.5,1,0.7,1.5,1.9,1.7,1.3,1.4,2.7,1.6,2.9,0.4,0.5
11/1/09,1.4,1.6,1.5,0.6,1.6,1.9,1.6,1.3,1.3,3,2.1,3.2,0.4,0.5
12/1/09,1.3,1.5,1.5,0.6,1.5,2,1.6,1.3,1.4,2.8,1.6,3,0.5,0.5
1/1/10,1.3,1.5,1.7,0.7,1.4,1.7,1.7,1.2,1.3,3.1,3,3.1,0.5,0.5
2/1/10,1.4,1.5,1.4,0.9,1.6,2.1,1.7,1.2,1.2,2.9,1.7,3.1,0.5,0.5
3/1/10,1.4,1.6,1.4,0.8,1.6,2,1.8,1.2,1.3,2.8,1.6,3,0.5,0.5
4/1/10,1.5,1.7,1.2,0.8,1.8,2.4,1.8,1.5,1.5,2.9,2,3,0.4,0.5
5/1/10,1.4,1.6,1.1,0.7,1.7,2.1,1.8,1.2,1.3,2.9,1.8,3.1,0.4,0.4
6/1/10,1.5,1.6,1.2,0.8,1.7,2.1,2.1,1.3,1.4,2.7,1.4,2.9,0.6,0.5
7/1/10,1.4,1.6,1.3,0.8,1.7,2.3,2,1.2,1.3,2.8,1.5,3,0.5,0.5
8/1/10,1.4,1.6,1.6,0.9,1.6,2,2,1.2,1.3,2.8,1.8,3,0.5,0.5
9/1/10,1.5,1.7,1.5,0.8,1.7,2.3,2,1.3,1.3,2.8,2,3,0.5,0.5
10/1/10,1.4,1.6,1.4,0.9,1.6,2.2,2.2,1.3,1.3,3,2.8,3,0.5,0.5
11/1/10,1.4,1.6,1,0.9,1.7,2.3,1.8,1.3,1.3,2.8,2.1,2.9,0.5,0.5
12/1/10,1.5,1.7,1.7,0.9,1.6,2,2.1,1.2,1.3,3,2.2,3.1,0.5,0.5
1/1/11,1.4,1.6,1.1,0.9,1.5,1.8,2.1,1.2,1.2,2.9,1.9,3,0.5,0.5
2/1/11,1.5,1.7,1.2,0.8,1.8,2.1,2.2,1.2,1.2,2.7,2,2.9,0.5,0.5
3/1/11,1.5,1.7,1.3,0.9,1.7,2.3,2.2,1.3,1.3,3,2.3,3.1,0.5,0.5
4/1/11,1.4,1.6,1.8,0.9,1.6,2.1,2.1,1.2,1.3,2.9,2.1,3,0.5,0.5
5/1/11,1.5,1.7,1.5,0.9,1.9,2.4,2.1,1.3,1.3,2.8,2.1,2.9,0.5,0.6
6/1/11,1.4,1.6,1.4,0.9,1.7,2.2,1.9,1.2,1.3,3,2.1,3.1,0.5,0.5
7/1/11,1.5,1.7,1.3,0.9,1.6,2.1,2.2,1.2,1.2,2.9,2.2,3.1,0.6,0.7
8/1/11,1.5,1.7,1.3,0.8,1.7,2.2,2.2,1.3,1.3,3.3,2.4,3.4,0.6,0.6
9/1/11,1.5,1.7,1.4,0.8,1.8,2.3,2.2,1.2,1.3,3.1,2.5,3.3,0.5,0.5
10/1/11,1.5,1.6,1.3,0.9,1.8,2.2,2,1.2,1.3,2.8,2.1,2.9,0.5,0.5
11/1/11,1.5,1.7,1.8,1,1.7,2,2.1,1.2,1.3,2.9,1.9,3,0.6,0.6
12/1/11,1.5,1.7,1.2,0.9,1.8,2.3,2.1,1.3,1.3,2.9,2.6,3,0.6,0.7
1/1/12,1.5,1.7,1.1,0.8,1.8,2.2,2.1,1.3,1.4,2.9,2.2,3,0.6,0.6
2/1/12,1.6,1.8,1.4,0.9,1.9,2.4,2.2,1.5,1.6,3.1,2.8,3.2,0.5,0.6
3/1/12,1.6,1.8,1.3,0.9,1.8,2.3,2.2,1.3,1.4,3.4,2.5,3.6,0.6,0.6
4/1/12,1.6,1.7,1.3,1,1.8,2.2,2.1,1.3,1.4,3.2,2.2,3.3,0.6,0.7
5/1/12,1.6,1.8,1.4,0.9,1.8,2.2,2.4,1.3,1.4,3.3,2.7,3.4,0.6,0.6
6/1/12,1.6,1.8,1.5,0.9,1.9,2.3,2.2,1.3,1.3,3.3,2.5,3.4,0.6,0.6
7/1/12,1.6,1.8,1.5,0.9,1.8,2.3,2.1,1.3,1.4,3.1,2.3,3.3,0.6,0.6
8/1/12,1.6,1.8,1.3,0.9,1.8,2.2,2.1,1.3,1.4,3.1,2.1,3.3,0.6,0.6
9/1/12,1.5,1.7,1.4,0.9,1.7,2.2,2.1,1.2,1.2,2.9,1.6,3.1,0.5,0.5
10/1/12,1.5,1.7,1.7,0.8,1.8,2.1,2,1.2,1.3,3.2,2.2,3.3,0.7,0.7
11/1/12,1.6,1.8,1.6,0.9,1.8,2.3,2.2,1.4,1.4,3.2,2.1,3.4,0.6,0.6
12/1/12,1.6,1.8,1.2,1,1.8,2.2,2.3,1.3,1.4,3.2,1.9,3.5,0.6,0.6
1/1/13,1.7,1.9,2.3,0.8,1.9,2.4,2.1,1.5,1.5,3.4,2.4,3.6,0.6,0.6
2/1/13,1.7,1.9,1.8,0.9,1.9,2.4,2.1,1.4,1.5,3.5,2.7,3.7,0.6,0.6
3/1/13,1.6,1.7,1.6,0.8,1.7,2.1,2,1.4,1.5,3.2,2.3,3.3,0.6,0.6
4/1/13,1.6,1.8,1.7,0.9,1.8,2.3,2.2,1.4,1.5,3.2,2.1,3.4,0.7,0.7
5/1/13,1.6,1.8,1.8,0.9,1.8,2.1,2.3,1.4,1.4,3.3,2.1,3.5,0.6,0.6
6/1/13,1.6,1.8,1.8,0.8,1.8,2.2,2.5,1.4,1.5,3.1,2.3,3.2,0.7,0.7
7/1/13,1.7,1.9,1.7,1,1.8,2.3,2.9,1.4,1.5,3.2,2.4,3.3,0.6,0.6
8/1/13,1.7,2,1.8,0.9,2,2.7,2.6,1.4,1.4,3.2,2.3,3.3,0.6,0.6
9/1/13,1.7,1.9,1.7,1,2,2.6,2.4,1.4,1.5,3.3,2.1,3.5,0.5,0.5
10/1/13,1.7,2,1.5,0.9,2.2,2.6,2.3,1.4,1.5,3.7,2.2,3.9,0.6,0.6
