label,amt
Overall,19
Men,21.6
Women,16.5
18-24,18.9
25-44,22.1
45-64,21.4
65 or older,7.9
White,20.6
Black,19.4
Hispanic,12.9
American Indian/Alaska Native,31.5
Asian,9.9
Multiple race,27.4
Did not complete high school,25.5
GED,45.3
High school diploma,23.8
Some college,22.3
Undergraduate degree,9.3
Graduate degree,5
